Article ID,Credibility Indicator ID,Credibility Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
33e72546defda755503017ef11d9283b09a2ba2b312c325f2f208f0c5d05045e,E0,Evidence,Alternative explanation,-2.0,[],-1,-1,nan
33e72546defda755503017ef11d9283b09a2ba2b312c325f2f208f0c5d05045e,E1,Evidence,Data-Driven Evidence,6.0,"range(397, 551)",397,551,"The US-led international coalition has conducted airstrikes on a camp next to the Syrian village of Baghouz, Deir-ez-Zor province, killing about 50 people//break//"
33e72546defda755503017ef11d9283b09a2ba2b312c325f2f208f0c5d05045e,E2,Evidence,Statistical confidence,3.0,"range(397, 551)",397,551,nan
33e72546defda755503017ef11d9283b09a2ba2b312c325f2f208f0c5d05045e,E3,Evidence,Alternative explanation,-1.0,[],-1,-1,nan
33e72546defda755503017ef11d9283b09a2ba2b312c325f2f208f0c5d05045e,H0,Holistic,Minor Bias,-1.8680428487567082,[],-1,-1,nan
33e72546defda755503017ef11d9283b09a2ba2b312c325f2f208f0c5d05045e,S0,Sourcing,Qualified Source,0.9172226761959515,[],-1,-1,nan
33e72546defda755503017ef11d9283b09a2ba2b312c325f2f208f0c5d05045e,S1,Sourcing,Qualified Source,0.9172226761959515,[],-1,-1,nan
33e72546defda755503017ef11d9283b09a2ba2b312c325f2f208f0c5d05045e,S2,Sourcing,Vague Sourcing,-2.0,"range(618, 848)",618,848,nan
,,,,,,,,
