Article ID,Credibility Indicator ID,Credibility Indicator Category,Credibility Indicator Name,Points,Indices of Label in Article,Start,End,target_text
88a3aa0f17b17a80ce04c3a36b7583e9abc2dc88af548ca99d1682b37b10635e,E0,Evidence,Alternative explanation,-1.0,[],-1,-1,nan
88a3aa0f17b17a80ce04c3a36b7583e9abc2dc88af548ca99d1682b37b10635e,S0,Sourcing,Vague Sourcing,-2.0,"range(1261, 1430)",1261,1430,nan
88a3aa0f17b17a80ce04c3a36b7583e9abc2dc88af548ca99d1682b37b10635e,S1,Sourcing,Vague Sourcing,-2.0,"range(1134, 1258)",1134,1258,nan
,,,,,,,,
